2024-06-27T15:48:58.911Z [INFO] Server started on port 3301
2024-06-27T15:48:59.218Z [INFO] Server on port 3301 did not receive enough votes
2024-06-27T15:49:04.420Z [ERROR] Error communicating with server 3302 during election: AggregateError
2024-06-27T15:49:04.421Z [ERROR] No response received from server 3302
2024-06-27T15:49:04.424Z [INFO] Server on 3301 has received a vote from 3300
2024-06-27T15:49:04.425Z [INFO] Server on port 3301 elected as leader
2024-06-27T15:49:04.456Z [ERROR] Error notifying RP: AggregateError
2024-06-27T15:49:04.496Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.559Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.621Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.687Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.748Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.811Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.871Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:04.934Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.001Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.060Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.123Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.186Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.249Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.310Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.376Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.438Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.498Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.560Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.625Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.689Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.749Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.811Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.876Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:05.937Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.000Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.063Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.125Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.190Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.250Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.317Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.378Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.440Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.502Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.563Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.627Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.692Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.757Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.816Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.880Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:06.942Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.006Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.068Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.130Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.194Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.257Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.322Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.383Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.446Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.506Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.573Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.631Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.693Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.758Z [ERROR] Error sending heartbeat to 3302: 
2024-06-27T15:49:07.821Z [ERROR] Error sending heartbeat to 3302: 
