2024-06-25T16:51:59.070Z [INFO] Server started on port 3101
2024-06-25T16:51:59.296Z [INFO] Server on 3101 has received a vote from 3100
2024-06-25T16:51:59.303Z [INFO] Server on port 3101 elected as leader
2024-06-25T16:51:59.327Z [INFO] RP notified of new leader on port 3101 for dn00
2024-06-25T16:51:59.371Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.372Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.432Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.433Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.495Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.498Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.557Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.559Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.619Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.620Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.681Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.683Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.745Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.746Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.809Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.810Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.871Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.872Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.933Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.934Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:51:59.994Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:51:59.995Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.058Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.059Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.122Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.123Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.185Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.186Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.248Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.248Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.309Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.310Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.371Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.372Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.434Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.435Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.497Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.498Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.561Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.562Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.622Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.623Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.685Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.686Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.747Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.748Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.811Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.812Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.873Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.874Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.935Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.936Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:00.998Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:00.999Z [INFO] Heartbeat acknowledged by server on port 3102
2024-06-25T16:52:01.062Z [INFO] Heartbeat acknowledged by server on port 3100
2024-06-25T16:52:01.063Z [INFO] Heartbeat acknowledged by server on port 3102
